ID,Name,Tel,Email,CAS,Product Name,Stock_Weight,Price,Last_Updated,Verified_On,Remarks,Website_URL,Source_URL
ChemBook_0,"Hebei Guanlang Biotechnology Co,.LTD",+8619930503252   , daisy@crovellbio.com, 451-40-1, 2-Phenylacetophenone,,,,2023-12-12,Purity: 99.9 | Package: 1KG;9USD,https://www.chemicalbook.com/manufacturer/hebei-crovell-biotech-455/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_1,"Hebei Mojin Biotechnology Co., Ltd",+86+8615028179902    15028179902, sales@hbmojin.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 99% | Package: 25KG,https://www.mojinchemical.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_2,"Henan Tianfu Chemical Co.,Ltd.",+86-19937530512    0371-55170693, info@tianfuchem.com, 451-40-1, 2-Phenylacetophenone 451-40-1,,,,2019-12-06,Purity: 99% | Package: 25KG;5KG;1KG,https://www.tianfuchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_3,ATK CHEMICAL COMPANY LIMITED,+undefined    21-51877795, ivan@atkchemical.com, 451-40-1, 2-Phenylacetophenone,,,,,Purity: 98% HPLC | Package: 5G;10G;25G;50G;100G;250G;1KG,http://www.atkchemical.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_4,career henan chemical co,+86    0371-86658258, sales@coreychem.com, 451-40-1, 2-Phenylacetophenone,,,,2018-07-23,Purity: as customer's need | Package: 1kg;1USD,https://www.coreychem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_5,"Jinan Finer Chemical Co., Ltd",+86+86-15508631887    531-+86-531-88989536, sales@finerchem.com, 451-40-1, 2-Phenylacetophenone,,,,2019-10-17,Purity: 99% | Package: 200kg;22USD,http://www.finerchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_6,"Hebei Guanlang Biotechnology Co., Ltd.",+86+86-19930503282   , alice@crovellbio.com, 451-40-1, 2-Phenylacetophenone,,,,2023-11-06,Purity: 99% | Package: 1KG;10USD,https://www.chemicalbook.com/manufacturer/crovell/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_7,"Chongqing Chemdad Co., Ltd",+86+8613650506873    023-+86-023-61398051, sales@chemdad.com, 451-40-1, 2-Phenylacetophenone,,,,2019-09-10,Purity: 0.98 | Package: 1kg，2kg，5kg，10kg，25kg,http://www.chemdad.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_8,CONIER CHEM AND PHARMA LIMITED,+86+8618523575427   , sales@conier.com, 451-40-1, 2-PHENYLACETOPHENONE,,,,,Purity: 99% | Package: 1kg,http://www.conier.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_9,"Neostar United (Changzhou) Industrial Co., Ltd.",+86    519-+86-519-519-85557386, marketing1@neostarunited.com, 451-40-1, 2-Phenylacetophenone,,,,2020-05-22,Package: 1KG;5KG;100KG;1000KG,http://www.neostarunited.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_10,SIMAGCHEM CORP,+86+86-13806087780   , sale@simagchem.com, 451-40-1, 2-Phenylacetophenone,,,,2020-06-29,"Purity: 0.99 | Package: 1kg,5kg,25kgs,200kgs;bulk",http://www.simagchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_11,"Hubei Ipure Biology Co., Ltd",+8613367258412   , ada@ipurechemical.com, 451-40-1, Parecoxib Impurity 1,,,,,Purity: 0.99 | Package: 5KG;1KG,http://www.ipurechemical.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_12,"Hefei TNJ Chemical Industry Co.,Ltd.",0086 189 4982 3763    0551-0551-65418671, sales@tnjchem.com, 451-40-1, Deoxybenzoin,,,,2020-11-09,,https://www.tnjchem.com/,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
