Name,CAS,Product Name,Tel,Email,Website_URL,Source_URL,Stock_Weight,Price,Last_Updated,Verified_On,Remarks
"- Changzhou City of Chemical Co., Ltd.","[' 79-03-8', ' 79-09-4']","[' Propionic acid', ' Propionyl chloride']",['   0519-88722281'],[' sales@cz-feilichem.com'],['https://www.chemicalbook.com/ShowSupplierProductsList10530/0.htm'],"['https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-03-8&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-09-4&a=China&left=True&page=5#J_Condition']",[nan],[nan],[nan],[nan],[nan]
-BY-Bio.Ltd,[' 14680-51-4'],[' Metonitazene'],['+8618369939125    0533-2066820'],[' hanson@sdhanjiang.com'],['http://www.bysw.ltd/'],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=14680-51-4&a=China&left=True&page=1#J_Condition'],[nan],[nan],[nan],[nan],['Purity: 0.99|Package: 1kg;0.00;USD']
"-Laohekou Huachen Chemical Co., Ltd.",[' 611-19-8'],[' 2-Chlorobenzyl chloride'],['+8615997268006    0710-8221378'],[' 15997268006@139.com'],[nan],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=611-19-8&a=China&left=True&page=11#J_Condition'],[nan],[nan],[nan],[nan],['Purity: 99% | Package: 250kg']
"-W&Y Express Chemical Industry Co., Ltd (ShenYang)","[' 140-88-5', ' 96-33-3', ' 62-53-3']","[' Aniline', ' Ethyl acrylate', ' Methyl acrylate']",['+8615840046119    024-31124838'],[' hxwdonald@wzeti.com'],['http://www.eti-chem.com/'],"['https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=10#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=7#J_Condition']",[nan],[nan],[nan],[nan],"['Purity: 99% | Package: 200kg', 'Purity: 99% | Package: 180kg']"
".GZ HONESTCHEM CO.,LTD",[' 28578-16-7'],[' PMK ethyl glycidate'],['+86+86-15013270415   '],[' honestchemical@foxmail.com'],['http://www.honestchemtop.com/'],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=28578-16-7&a=China&left=True&page=2#J_Condition'],[nan],[nan],[nan],['2019-10-08'],['Purity: 99.9% | Package: 25KG;5USD']
"A.M Food Chemical Co.,Ltd","[' 100-46-9', ' 78-67-1', ' 98-86-2', ' 100-52-7', ' 96-33-3', ' 705-60-2', ' 110-63-4', ' 3612-20-2', ' 140-88-5', ' 56553-60-7', ' 7361-61-7', ' 5337-93-9', ' 60-12-8', ' 131543-23-2']","[' 1-Phenyl-2-nitropropene', ' Benzylamine', ' WIN 55212-2 mesylate', ' Acetophenone', ' Methyl acrylate', "" 2,2'-Azobis(2-methylpropionitrile)"", ' Sodium triacetoxyborohydride', ' 1-(4-methylphenyl)-Propanon', ' Benzaldehyde', ' Xylazine', ' Ethyl acrylate', ' 1,4-Butanediol', ' Phenethyl alcohol', ' N-Benzyl-4-piperidone']","['   0533-2833223', '+8618018249389    0519-8359', '+8618030271905    86-05926210733', '   0531-87100375', '+86    571-571-89925085', '   0515-86111688', '+8617736933208    0086-1773693']","[' sales@hongtaibiochem.com', ' sales@anikare.com', ' 1137059254@qq.com', ' chenli@amfoodchem.com', ' sarah@mainchem.com', ' sales@ziboyixinchem.com', ' sales@amadischem.com']","[nan, 'http://www.amfoodchem.com/']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=705-60-2&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=9#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=131543-23-2&a=China&left=True&page=1#J_Condition']",[nan],[nan],[nan],[nan],"[nan, 'Purity: 99% | Package: 5KG;1KG;25KG', 'Purity: 0.99 | Package: 1kg 5kg 10kg 100kg 500kg', 'Purity: 0.97 | Package: mgs,gs,kgs | CustNote: A846158', 'Package: According to customer‘s requirement']"
ABA Chemicals (Shanghai) Limited,[' 122-11-2'],[' Sulfadimethoxine'],['   021-51159199'],[' rimondlong@abachem.com'],['https://www.chemicalbook.com/ShowSupplierProductsList8240/0_EN.htm'],['https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=3#J_Condition'],[nan],[nan],[nan],[nan],[nan]
"AF Biochem Co., Ltd.","[' 5337-93-9', ' 49851-31-2']","[' L-Alanine,N-[(S)-[[(1S)-2-(6-amino-9H-purin-9-yl)-1-methylethoxy]methyl]phenoxyphosphinyl]-, 1-methylethyl ester', "" 4'-Methylpropiophenone""]","['   +86-571-85232125 85232161 85134551', '+8613540204019    028-60911900']","[' lucy@afbiochem.com', ' info@afinechem.com']",['http://www.afbiochem.com/'],"['https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=8#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=49851-31-2&a=China&left=True&page=4#J_Condition']",[nan],[nan],[nan],[nan],[nan]
AFINE CHEMICALS LIMITED,"[' 41661-47-6', ' 79-03-8', ' 62-53-3', ' 56553-60-7', ' 1155-56-2', ' 110-62-3', ' 100-46-9', ' 78-67-1', ' 98-86-2', ' 100-52-7', ' 140-88-5', ' 5337-93-9', ' 68-11-1', ' 122-78-1', ' 123-39-7', ' 96-33-3', ' ?598-21-0', ' 122-11-2', ' 110-63-4', ' 60-12-8', ' 591-31-1', ' 103-63-9', ' 3612-20-2', ' 877-37-2', ' 1009-14-9']","[' N-METHYLFORMAMIDE', ' 122-78-1 Phenylacetaldehyde', ' METHYL ACRYLATE', "" 2,2'-AZOBIS(2-METHYLPROPIONITRILE)"", ' 4-Methylpropiophenone', ' Aniline', ' 1,4-BUTANEDIOL', ' ACETOPHENONE', ' Phenethyl alcohol', ' 4-Piperidinone', ' N-Benzyl-4-piperidone', ' 2-bromo-4-chloropropiophenone', ' BROMOACETYLBROMI', ' Valeraldehyde', ' Methyl acrylate', ' 4-Anilino-1-benzylpiperidine', ' ETHYL ACRYLATE', ' Sulfadimethoxine', ' Β-PHENETHYL BROMIDE', ' SODIUM TRIACETOXYBOROHYDRIDE', ' VALERALDEHYDE', ' Benzaldehyde', "" 4'-Methylpropiophenone"", ' 3-Methoxybenzaldehyde', ' BENZYLAMINE', ' Valerophenone', ' MERCAPTOACETIC ACID', ' Ethyl acrylate', ' 3-Methoxy benzaldehyde', ' PROPIONYL CHLORIDE']","['+8618072846723   ', '+86-19937530512    0371-55170693', '15800340161   ', '   0728-6703368', '   +86-571-85232125 85232161 85134551', '+8615093356674    0371-+86-0371-86658258', '+86+8615858145714    008657128800458', '+8615271838296   ', '+8613613820652    +86-371-86557731', '   0536-5660088', '   0513-89158300', '+86    0571-85134551']","[' 3447802629@qq.com', ' sales@chinahydantoin.com', ' fandachem@gmail.com', ' info@fdachem.com', ' caigou1@witofly.com', ' info@zzsrm.com', ' info@afinechem.com', ' 3404720992@qq.com', ' laboratory@coreychem.com', ' kyra@quanjinci.com', ' info@tianfuchem.com']","['http://www.afinechem.com/index.html', 'http://www.afinechem.com/']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=41661-47-6&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-21-0&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=56553-60-7&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=591-31-1&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-62-3&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=78-67-1&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1155-56-2&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=877-37-2&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=5#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=591-31-1&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=60-12-8&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-62-3&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=98-86-2&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=123-39-7&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-78-1&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=110-63-4&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=5337-93-9&a=China&left=True&page=7#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=3612-20-2&a=China&left=True&page=6#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=68-11-1&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=122-11-2&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-03-8&a=China&left=True&page=2#J_Condition']","[nan, '1kg']","[nan, '23.00']","[nan, 'Oct26,2023']","[nan, '2021-05-18']","[nan, 'Purity: 98%+ | Package: Standard or custom package | CustNote: excellent quality and reliable supplier', 'Purity: As coa | Package: As request | CustNote: 1009-14-9', 'Purity: 99% | Package: 25KG;5KG;1KG', 'Purity: 99% | Package: USP EP CP', 'Purity: 0.99 | Package: 5KG;1KG', 'Purity: 99% | Package: 1KG;8USD|1000KG;0.8USD', 'Purity: 98%', 'Purity: 0.99 | Package: 1KG;7KG Judy@corechem.com', 'Purity: 98% HPLC | Package: 25kg']"
"AHH Chemical Co,.Ltd","[nan, ' 864445-37-4', ' 705-60-2', ' 598-22-1', ' 7361-61-7', ' 1009-14-9']","[' 1-Phenyl-2-nitropropene', ' (2-Bromoethyl)benzene', ' Benzylamine', ' N-Phenyl-N-(4-piperidinyl)propanamide', ' Ethyl 3-oxo-4-phenylbutanoate', ' Benzaldehyde', ' Xylazine', ' Styrallylacetate', ' Valerophenone', ' Propionyl bromide', ' JWH 167']","['+8617367732028    +86-17367732028', '   0592-6020891', '+86+8613296627870    +86-13296627870', '+8615632927689   ', '   86-1860259310', '+86+8615028179902    15028179902', '+8615532196582    0311-85030958']","[' sales@hbmojin.com', ' sales@ahhchemical.com', ' admin@hbdangtong.com', ' lisa@yibangte.com', ' kathy@hbyinsheng.com', ' sale@biohj.com', ' info@whwingroup.com']","[nan, 'http://www.ahhchemical.com/product/MT-35153.html', 'http://www.ahhchemical.com/product/MT-60434.html', 'http://www.ahhchemical.com/product/MT-60324.html', 'http://www.ahhchemical.com/product/MT-54749.html', 'http://www.ahhchemical.com/product/MT-58202.html']","['https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-52-7&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=7361-61-7&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1609-66-1&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=100-46-9&a=China&left=True&page=3#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=103-63-9&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=1009-14-9&a=China&left=True&page=4#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=705-60-2&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=718-08-1&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=93-92-5&a=China&left=True&page=2#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=864445-37-4&a=China&left=True&page=1#J_Condition', 'https://www.chemicalbook.com/ProductList_En.aspx?kwd=598-22-1&a=China&left=True&page=1#J_Condition']",[nan],[nan],[nan],[nan],"[nan, 'Purity: 99% | Package: 1kg;30USD|99kg;20USD|999kg;10USD', 'Brand：ahhchemical | Product Number：MT-58778 | Purity：98%', 'Brand：ahhchemical | Product Number：MT-47612 | Purity：98%', 'Purity: 99% | Package: 25KG', 'Purity: 99.9% | Package: 1g;1USD', 'Purity: 99%|Package: 1kg;0.00;USD|25kg;0.00;USD|50kg;0.00;USD', 'Brand：ahhchemical | Product Number：MT-01831 | Purity：98%', 'Brand：ahhchemical | Product Number：MT-60698 | Purity：2-?chloro-?6-?(6-?cyclopropyl-?8-?fluoro-?1-?oxo-?2(1H)?-?isoquinolinyl)?-', 'Purity: 99% | Package: 1g;1USD|1KG;10USD', 'Brand：ahhchemical | Product Number：MT-57232 | Purity：98%']"
