CoC_ID,Company_ID,Attribute_ID,Attribute,Value
,1,1,Name,"- Changzhou City of Chemical Co., Ltd."
,1,3,Products, Propionic acid ;  Propionyl chloride
,1,10,Contact,"{'Tel': ['   0519-88722281'], 'Email': [' sales@cz-feilichem.com']}"
,1,11,Website,https://www.chemicalbook.com/ShowSupplierProductsList10530/0.htm
,1,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-09-4&a=China&left=True&page=5#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=79-03-8&a=China&left=True&page=6#J_Condition
,2,1,Name,-BY-Bio.Ltd
,2,3,Products, Metonitazene
,2,10,Contact,"{'Tel': ['+8618369939125    0533-2066820'], 'Email': [' hanson@sdhanjiang.com']}"
,2,11,Website,http://www.bysw.ltd/
,2,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=14680-51-4&a=China&left=True&page=1#J_Condition
,3,1,Name,"-Laohekou Huachen Chemical Co., Ltd."
,3,3,Products, 2-Chlorobenzyl chloride
,3,10,Contact,"{'Tel': ['+8615997268006    0710-8221378'], 'Email': [' 15997268006@139.com']}"
,3,11,Website,nan
,3,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=611-19-8&a=China&left=True&page=11#J_Condition
,4,1,Name,"-W&Y Express Chemical Industry Co., Ltd (ShenYang)"
,4,3,Products, Aniline ;  Methyl acrylate ;  Ethyl acrylate
,4,10,Contact,"{'Tel': ['+8615840046119    024-31124838'], 'Email': [' hxwdonald@wzeti.com']}"
,4,11,Website,http://www.eti-chem.com/
,4,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=96-33-3&a=China&left=True&page=7#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=62-53-3&a=China&left=True&page=10#J_Condition ; https://www.chemicalbook.com/ProductList_En.aspx?kwd=140-88-5&a=China&left=True&page=6#J_Condition
,5,1,Name,".GZ HONESTCHEM CO.,LTD"
,5,3,Products, PMK ethyl glycidate
,5,10,Contact,"{'Tel': ['+86+86-15013270415   '], 'Email': [' honestchemical@foxmail.com']}"
,5,11,Website,http://www.honestchemtop.com/
,5,26,Information Source,https://www.chemicalbook.com/ProductList_En.aspx?kwd=28578-16-7&a=China&left=True&page=2#J_Condition
,6,1,Name,"A.M Food Chemical Co.,Ltd"
,6,3,Products," Methyl acrylate ;  Xylazine ;  1-(4-methylphenyl)-Propanon ;  Phenethyl alcohol ;  Ethyl acrylate ;  1-Phenyl-2-nitropropene ;  WIN 55212-2 mesylate ;  Sodium triacetoxyborohydride ;  N-Benzyl-4-piperidone ;  1,4-Butanediol ;  2,2'-Azobis(2-methylpropionitrile) ;  Benzylamine ;  Acetophenone ;  Benzaldehyde"
,6,10,Contact,"{'Tel': ['+86    571-571-89925085', '   0515-86111688', '+8618030271905    86-05926210733', '   0531-87100375', '+8617736933208    0086-1773693', '+8618018249389    0519-8359', '   0533-2833223'], 'Email': [' chenli@amfoodchem.com', ' sales@hongtaibiochem.com', ' sales@ziboyixinchem.com', ' sarah@mainchem.com', ' 1137059254@qq.com', ' sales@amadischem.com', ' sales@anikare.com']}"
,6,11,Website,nan ; http://www.amfoodchem.com/
