ID,Name
CB_Company_1,"Hebei Guanlang Biotechnology Co,.LTD"
CB_Company_2,"Hebei Mojin Biotechnology Co., Ltd"
CB_Company_3,"Henan Tianfu Chemical Co.,Ltd."
CB_Company_4,ATK CHEMICAL COMPANY LIMITED
CB_Company_5,career henan chemical co
CB_Company_6,"Jinan Finer Chemical Co., Ltd"
CB_Company_7,"Hebei Guanlang Biotechnology Co., Ltd."
CB_Company_8,"Chongqing Chemdad Co., Ltd"
CB_Company_9,CONIER CHEM AND PHARMA LIMITED
CB_Company_10,"Neostar United (Changzhou) Industrial Co., Ltd."
CB_Company_11,SIMAGCHEM CORP
CB_Company_12,"Hubei Ipure Biology Co., Ltd"
CB_Company_13,"Hefei TNJ Chemical Industry Co.,Ltd."
CB_Company_14,"ANHUI WITOP BIOTECH CO., LTD"
CB_Company_15,"Dayang Chem (Hangzhou) Co.,Ltd."
CB_Company_16,"Hong Kong Excellence Biotechnology Co., Ltd."
CB_Company_17,Shandong Believe Chemical PTE.LTD
CB_Company_18,"Shanghai Innopharm Industrial Co., Ltd."
CB_Company_19,Hebei Duling International Trade Co. LTD
CB_Company_20,"LEAP CHEM CO., LTD."
CB_Company_21,"Jewim Pharmaceutical (Shandong) Co., Ltd."
CB_Company_22,PT CHEM GROUP LIMITED
CB_Company_23,"ZHEJIANG JIUZHOU CHEM CO., LTD"
CB_Company_24,"GIHI CHEMICALS CO.,LIMITED"
CB_Company_25,"Jiangsu Yutian pharmaceutical Co.,Ltd."
CB_Company_26,"Wuhan Quanjinci New Material Co.,Ltd."
CB_Company_27,"Shanghai Acmec Biochemical Technology Co., Ltd."
CB_Company_28,Amadis Chemical Company Limited
CB_Company_29,"Shanghai Daken Advanced Materials Co.,Ltd"
CB_Company_30,"Shanghai Hengmao New Materials Technology CO., LIMITED"
CB_Company_31,"Mainchem Co., Ltd."
CB_Company_32,Shanghai Famo Bio-chemical Technology Company Ltd.
CB_Company_33,DC Chemicals
CB_Company_34,Chemenu Inc.
