Key,,,,Value,
CoC_ID,Company_ID,Attribute_ID,Attribute,Attribute_Value,Updated_Attribute_Value
1_3:1:6,1,2,Address,"Building 12A, Baosheng industrial zone, Bainikeng Village, Pinghu Town, Longgang District, Shenzhen, Guangdong","Street:Rm1415 Yinqiao Masion No.58 Jinxin Road Pudong Shanghai China
"
1_3:1:7,1,3,Products,Fentanyl; 4-EMC; MXE; FUB-AKB48; MDPV; bathsalts; Dibutylone etc.,
1_3:1:8,1,5,Pricing($),"2.3-2.8/g, free sample",
1_3:1:9,1,6,Payment method  ,Bitcoin,
1_3:1:10,1,7,Terms of Sale,Website and Facebook,
1_3:1:11,1,9,Delivery," 4-5days delivery, no delay, product for free if it gets lost or delay",
1_3:1:12,1,10,Contact,Ling_Chen@rc-chemical.com; Tel: 108405361131,"Mobile:+86 13482718981
Tel:+86-21-50322175
Fax:+86-21-50322176
"
1_3:1:13,1,11,Website,https://rc-chemical.com,URL:http://www.rcc.net.cn
1_3:1:14,1,12,IP Address,111.90.149.105,
1_3:1:15,1,13,Server Location,Malaysia,
1_3:1:16,1,15,Main Market,"US, UK, North and South America, Europe, New Zealand, Australia",
1_3:1:17,1,16,Remark,"300 regular buyers, orders delivered to Rio de Janeiro, Madrid, Calcutta, Monterrey and San Francisco.Countries with guaranteed delivery: United States of America, United Kingdom, North and South America, Europe, New Zealand, Australia and so on.RC-Chemical has a Facebook account (https://www.facebook.com/RC-Chemical-670060299700786/) to attract foreign clients by providing free samples with 'safe delivery fee 120 usd'.
 ",
1_3:1:18,1,18,Description,"Claiming that it only sells ’legal powders’, the website of RC-Chemical remarks the legality of each drug. For example, RC-Chemical reminds the buyers that ‘It is still not directly illegal to buy Methoxetamine in the US, but buyers should understand that there may indirect laws that can have implications for those who choose to do so.’, which implying its being acquiescent to sell the drugs to countries where they’re ‘indirectly’ illegal. RC-Chemical has posted pictures of MDPV powder for smoking and promoted its ‘bath salts’.RC-Chemical has listed all the countries with its guaranteed delivery as followed: United States of America, United Kingdom, North and South America, Europe, New Zealand, Australia and so on, which indicates its main customers are from the U.S..Underlining its ‘good realtionship with shippers’ such as UPS, Fedex, DHL and EMS, RC-Chemical assures the clients with its ‘strong relationships’ with ‘customs and regulatory authorities’ as well as ‘governments and trade commissions’ , which has been a ‘pain to establish relations properly’. Specifically, it mentioned its connection with the ‘right people’ at ‘National Foreign Trade and Ecomoic Cooperation’(which was merged into Ministry of Commerce in 2003) and General Administration of Customs of China, which, if it’s true, indicates corruption. Further, RC-Chemical promises to ship ‘everything’ and do file out the ‘paperwork’ properly so the parcels of drugs won’t be held by any customes in different countries.
 
",
1_3:1:19,1,17,Post on,https://rc-chemical.com/goods/methoxetamine,
1_3:1:23,2,1,Chinese Name,,
1_3:1:24,2,2,Address,"No. 11 Gold Shop Industrial Park Road,Zhengdian,Jiangxia dist., Wuhan, Hubei(武汉市江夏区黄金工业园黄金路11号)","Street:Room A1809, SD Building, No.141, Wushan Road,Guangzhou, China
"
1_3:1:25,2,3,Products,"Fentanyl, Carfentanyl, Furanylfentanyl, Butyrylfentanyl, Fentanyl HCL, Hexen",
1_3:1:26,2,5,Pricing($),"80/g(Fentanyl), 3.95/g(Carfentanyl), 1-2/g(Furanylfentanyl)",
1_3:1:27,2,4,Production Capacity,3 Ton/Mon,
1_3:1:28,2,6,Payment method  ,Bitcoin,
1_3:1:29,2,7,Terms of Sale,Minimum order quantity: 1g,
1_3:1:30,2,9,Delivery,"TNT, UPS, DHL, FEDex, EMS, 100% discrete in delivery",
1_3:1:31,2,10,Contact,"Tel: 13363800884, 18330939959(commerce.com); Email: ellen@biology-chem.com","Tel:0086-20-38921938
Fax:0086-20-38921037
"
1_3:1:32,2,11,Website,https://cn.tradekey.co90m/profile_view/uid/10848307.html,
1_3:1:33,2,12,IP Address,149.56.19.76,
1_3:1:34,2,13,Server Location,U.S. ,
1_3:1:35,2,14,Active Level,11/26/2018,
1_3:1:36,2,15,Main Market,"USA, Europe",
