ID,Name,Tel,Email,CAS,Product Name,Remarks,Updated_Date,Weight,Price(USD),Source URL
ChemBook_0,"Hebei Guanlang Biotechnology Co,.LTDVisit Store NEW",+8619930503252   , daisy@crovellbio.com, 451-40-1, 2-Phenylacetophenone,Purity: 99.9 | Package: 1KG;9USD,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_1,"Hebei Mojin Biotechnology Co., LtdVisit Store NEW",+86+8615028179902    15028179902, sales@hbmojin.com, 451-40-1, 2-Phenylacetophenone,Purity: 99% | Package: 25KG,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_2,"Henan Tianfu Chemical Co.,Ltd.Visit Store Danger",+86-19937530512    0371-55170693, info@tianfuchem.com, 451-40-1, 2-Phenylacetophenone 451-40-1,Purity: 99% | Package: 25KG;5KG;1KG,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_3,ATK CHEMICAL COMPANY LIMITEDVisit Store,+undefined    21-51877795, ivan@atkchemical.com, 451-40-1, 2-Phenylacetophenone,Purity: 98% HPLC | Package: 5G;10G;25G;50G;100G;250G;1KG,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_4,career henan chemical coVisit Store,+86    0371-86658258, sales@coreychem.com, 451-40-1, 2-Phenylacetophenone,Purity: as customer's need | Package: 1kg;1USD,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_5,"Jinan Finer Chemical Co., LtdVisit Store",+86+86-15508631887    531-+86-531-88989536, sales@finerchem.com, 451-40-1, 2-Phenylacetophenone,Purity: 99% | Package: 200kg;22USD,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_6,"Hebei Guanlang Biotechnology Co., Ltd.Visit Store",+86+86-19930503282   , alice@crovellbio.com, 451-40-1, 2-Phenylacetophenone,Purity: 99% | Package: 1KG;10USD,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_7,"Chongqing Chemdad Co., LtdVisit Store",+86+8613650506873    023-+86-023-61398051, sales@chemdad.com, 451-40-1, 2-Phenylacetophenone,Purity: 0.98 | Package: 1kg，2kg，5kg，10kg，25kg,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_8,CONIER CHEM AND PHARMA LIMITEDVisit Store,+86+8618523575427   , sales@conier.com, 451-40-1, 2-PHENYLACETOPHENONE,Purity: 99% | Package: 1kg,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
ChemBook_9,"Neostar United (Changzhou) Industrial Co., Ltd.Visit Store",+86    519-+86-519-519-85557386, marketing1@neostarunited.com, 451-40-1, 2-Phenylacetophenone,Package: 1KG;5KG;100KG;1000KG,None,None,None,https://www.chemicalbook.com/ProductList_En.aspx?kwd=451-40-1&a=China&left=True&page=1#J_Condition
